project_name,notice_type,region,notice_date,bid_description,sector_description
RESILAND CA+ Program: Tajikistan Resilient Landscape Restoration Project,Request for Expression of Interest,Europe And Central Asia,18-Jun-2024,"Training services for SFA, SFE, SISPNA (and units) and PRT staff and specialists in in improved forest, PA and pasture management, landscape restoration, GIS applications, and stakeholder engagement.","Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Forestry,Livestock"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,Finance Analyst III/Finance Soecialist,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Climate Adaptation and Resilience for South Asia,Invitation for Bids,South Asia,18-Jun-2024,Physical Server - Pakistan,"Other Public Administration,Sub-National Government"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,18-Jun-2024,Administrative Officer II,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Tax Administration and Statistical System Modernization Project,Contract Award,Europe And Central Asia,18-Jun-2024,Procurement of specialized software for technical equipment and information security,"Central Government (Central Agencies),ICT Infrastructure,Sub-National Government"
Regional Disease Surveillance Systems Enhancement Project (REDISSE) Phase IV,Contract Award,Western And Central Africa,18-Jun-2024,Acquisition d'un monte charge sur 2 niveaux au profit du laboratoire national de santé publique de Brazzaville.,"Health Facilities and Construction,Public Administration - Health,Health,ICT Infrastructure"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,18-Jun-2024,"Construction  of LABU GABAYA RPS in Guna Begameder woreda. The work includes the construction of civil works, supply, and installation of pipes, fittings, and electro-mechanical equipment (Generator & pump sets) by AWIEB.","Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Maritime Investment in Climate Resilient Operations II,Request for Expression of Interest,East Asia And Pacific,18-Jun-2024,Supervision of Works is essential to provide clear supervisory and advisory roles on the expected works inputs on the three islands.,"Ports/Waterways,Public Administration - Transportation"
Climate Adaptation and Resilience for South Asia,Invitation for Bids,South Asia,18-Jun-2024,Physical server - Pakistan (PMD),"Other Public Administration,Sub-National Government"
Ethiopia: National Quality Infrastructure Development Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,"Ethiopian Conformity Assessment Enterprise (ECAE’s) Service Publicity through TV Panel Discussion, Documentary Film and advertising TV and Radio Spot","Public Administration - Industry, Trade and Services,Trade,Manufacturing,Agricultural markets, commercialization and agri-business"
Lesotho Renewable Energy & Energy Access Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Contractor for Electrification of villages at Rothe in Maseru district,"Energy Transmission and Distribution,Renewable Energy Hydro,Renewable Energy Solar"
Ethiopia: National Quality Infrastructure Development Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,"Ethiopian Conformity Assessment Enterprise (ECAE’s) Service Publicity through TV Panel Discussion, Documentary Film and advertising TV and Radio Spot","Public Administration - Industry, Trade and Services,Trade,Manufacturing,Agricultural markets, commercialization and agri-business"
Tanzania Food Systems Resilience Program,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,Provision of Consultancy Services for Developing Irrigation Information Management System (iMIS),"Agricultural Extension, Research, and Other Support Activities,Irrigation and Drainage,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Modernization of Water Supply and Sanitation Services,Invitation for Bids,Latin America And Caribbean,18-Jun-2024,"Servicio de auscultación, detección y reparación de fugas no visibles en redes primarias, secundarias y conexiones domiciliarias de agua potable para las EPS Huaral y Barranca","Water Supply,Sanitation,Public Administration - Water, Sanitation and Waste Management"
Commercialization and De-Risking for Agricultural Transformation Project,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,Hiring a Consultancy firm to carry out an Environmental Social Impact Assessment (ESIA) & Environmental and Social Management Plans (ESMPS) for Kageyo marshland,"Public Administration - Agriculture, Fishing & Forestry,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities"
Kenya Digital Economy Acceleration Project,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,Technical Assistance to Prepare Commercial Transaction Manual,"ICT Services,ICT Infrastructure,Public Administration - Information and Communications Technologies"
Human Development Service Delivery  Project,Contract Award,Latin America And Caribbean,18-Jun-2024,Enumerators for the Labour Force Survey (2022),"Public Administration - Education,Workforce Development and Vocational Education,Social Protection,Public Administration - Social Protection,Primary Education,Secondary Education"
Solar Energy in Local Communities,Contract Award,Eastern And Southern Africa,18-Jun-2024,"Acquisition des équipements bureautiques(1GPS, 1 Anglomètre, 1 appareil photo)","Renewable Energy Solar,Public Administration - Energy and Extractives"
Higher Education Project,Contract Award,Europe And Central Asia,18-Jun-2024,Interactive boards and software for organizing education in the field of history and geography,"Tertiary Education,ICT Services,Public Administration - Education"
Lesotho Renewable Energy & Energy Access Project,Invitation for Bids,Eastern And Southern Africa,18-Jun-2024,Electrification of Villages at Moyeni,"Energy Transmission and Distribution,Renewable Energy Hydro,Renewable Energy Solar"
Integrated Water Management and Development Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,"Construction Works For Mbale Water Supply And Sanitation System in Lots;
- Lot 1 (Water Supply and Sewerage)
- Lot 2 (Water Distribution)","Sanitation,Water Supply,Public Administration - Water, Sanitation and Waste Management"
OPSIL UAT Test Project - Connectivity for Rural Livelihood Improvement Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Conception et mise en place d'un plateforme numérique sur la RN44 et RN12 A,"Rural and Inter-Urban Roads,Public Administration - Transportation,ICT Infrastructure"
Samoa Aviation and Roads Investment Project,Contract Award,East Asia And Pacific,18-Jun-2024,Automated Weather Station (AWS) - Supply and Installation,"Rural and Inter-Urban Roads,Aviation,Public Administration - Transportation"
Commercialization and De-Risking for Agricultural Transformation Project,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,Recruiting consultant to carry out feasibility and detailed design study for rehabilitation and improvement of Agasasa marshland (200ha),"Public Administration - Agriculture, Fishing & Forestry,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities"
Capacity Augmentation of the National Waterway- 1 (JAL MARG VIKAS)  Project,Invitation for Bids,South Asia,18-Jun-2024,Fairway Maintenance of Sultanganj–Mahendrapur (74 Km) and Mahendrapur–Barh (71 Km) stretches of National Waterway–1 (River Ganga),"Ports/Waterways,ICT Services"
