project_name,notice_type,region,notice_date,bid_description,sector_description,link
philippine rural development project,contract award,none,27-jun-2024,social and environmental safeguards officer,"['fisheries', 'other transportation', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'fisheries', 'other agriculture, fishing and forestry', 'other transportation', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'other agriculture, fishing and forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298111
tax administration and statistical system modernization project,contract award,none,27-jun-2024,"""it specialist (ist)""","['central government (central agencies)', 'ict infrastructure', 'sub-national government']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298107
west bengal accelerated development of minor irrigation project - phase ii,invitation for bids,india,27-jun-2024,"non-consultancy services for topographical survey under dpmu jhargram for 4 (four) number of check dams i.e., i) barbari cd, ii) suabasa cd, iii) bhauda cd and iv) akhrasole cd in jhargram district under wbadmi project (phase-ii) for the fy 2024-25.","['agricultural extension, research, and other support activities', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298108
integrated infrastructure development for national tourism strategic areas (indonesia tourism develo,contract award,none,27-jun-2024,penataan kawasan gili air,['tourism'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298105
integrated infrastructure development for national tourism strategic areas (indonesia tourism develo,contract award,none,27-jun-2024,pembangunan spam kspn mandalika tahap ii kabupaten lombok tengah,['tourism'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298104
sustainable energy development and access project,contract award,none,27-jun-2024,1.75 mw solar pv power plant in weno,"['public administration - energy and extractives', 'energy transmission and distribution', 'renewable energy solar']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298110
tax administration and statistical system modernization project,contract award,none,27-jun-2024,it specialists (ist),"['central government (central agencies)', 'ict infrastructure', 'sub-national government']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298106
sri lanka agriculture sector modernization project,contract award,none,27-jun-2024,"supply and delivery of 22000 number of passion fruit seedlings 6–8-inch height (pot size 5""inch height,4""inch diameter after filled) for passion fruit cluster of anuradhapura","['agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298090
economic transformation for inclusive growth project,contract award,none,27-jun-2024,assistante administratif,"['public administration - industry, trade and services', 'tourism', 'agricultural markets, commercialization and agri-business', 'sub-national government', 'central government (central agencies)']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298079
integrated infrastructure development for national tourism strategic areas (indonesia tourism develo,contract award,none,27-jun-2024,"the development of spam kspn wakatobi is expected to be able to improve the quality and access to drinking water needs for services, infrastructure and tourism activities.",['tourism'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298077
transport resilience and connectivity enhancement project,invitation for prequalification,kazakhstan,27-jun-2024,"the project provides for reconstruction of 7 sections of jezqazgan - karagandy corridor using an integrated design, build, and maintain approach under output and performance-based road contract (opbrc) arrangement.",[],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298100
integrated flood resilience and adaptation project,contract award,none,27-jun-2024,selection of program specialist (livelihood),"['irrigation and drainage', 'rural and inter-urban roads', 'housing construction', 'water supply', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298080
dedicated grant mechanism for indigenous peoples and local communities in nepal,contract award,none,27-jun-2024,nsc meeting for small grants final proposal selection,"['forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298089
cote d'ivoire urban water supply and sanitation project,contract award,none,27-jun-2024,recrutement d’un consultant expert barrages pour presider le panel d’experts independants dans le cadre de la realisation de neuf (09) barrages en cote d’ivoire,"['water supply', 'public administration - water, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298078
program to accelerate agrarian reform (one map project),contract award,none,27-jun-2024,end-year survey and project impact analysis fy. 2023,"['other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298109
regional emergency solar power intervention project,contract award,none,27-jun-2024,consultancy services for provision of senior international solar pv specialist - respite panel of experts,"['renewable energy solar', 'other energy and extractives', 'public administration - energy and extractives', 'energy transmission and distribution']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298036
multipurpose cadaster project,contract award,none,24-jun-2024,"ejecutar las actividades asociadas al especialista financiero del igac, realizando la planificación, ejecución, seguimiento y control financiero y contable de los recursos y compromisos adquiridos con la banca multilateral, en el marco del programa","['other public administration', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297506
second kenya informal settlements improvement project,contract award,none,24-jun-2024,construction and installation of 5 security mast lights in selected informal settlements of huruma in olkalou and njabini in nyandarua county and construction of a vending platform in huruma in olkalou,"['social protection', 'other water supply, sanitation and waste management', 'sub-national government', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297507
climate smart irrigated agriculture project,contract award,none,24-jun-2024,procurement of 410 nos of aw & d tubes (pcs) for agronomic interventions  programme in 2024 yala season - north central province - csiap,"['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297503
national agriculture development program,contract award,none,25-jun-2024,recrutement d'un chargé de passation des marchés pour l'unité provinciale de coordination pnda/kasaï,"['other agriculture, fishing and forestry', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'rural and inter-urban roads', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297733
boosting inclusive growth for zanzibar: integrated development project,invitation for bids,tanzania,24-jun-2024,supply of solid waste equipment for zanzibar municipalities (lot 1 & lot 2),"['tourism', 'sub-national government', 'urban transport']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297502
guinea commercial agriculture development project,contract award,none,24-jun-2024,acquisition d’aliments volailles (maïs et concentres) dans le cadre du financement des 97 sous-projets de grippe aviaire,"['rural and inter-urban roads', 'agricultural markets, commercialization and agri-business', 'public administration - industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297497
